name	net_charge	identifier	smiles	value	branching_ratio	experimental_or_predicted	temperature	doi	url	remark
Tetracycline	-1	tetracycline_-1_1	CN(C)C1C2CC3C(=C(O)C2(O)C(=O)C(C([O-])=[NH2+])=C1[O-])C(=O)c1c(O)cccc1C3(C)O							
Tetracycline	-2	tetracycline_-2_1	CN(C)C1C2CC3C(=C(O)C2(O)C(=O)C(C([O-])=[NH2+])=C1[O-])C(=O)c1c([O-])cccc1C3(C)O							
Tetracycline	-2	tetracycline_-2_2	CN(C)C1C2CC3C(=C([O-])C2(O)C(=O)C(C([O-])=[NH2+])=C1[O-])C(=O)c1c(O)cccc1C3(C)O							
Tetracycline	-2	tetracycline_-2_3	C[NH+](C)C1C2CC3C(=C([O-])C2(O)C(=O)C(C([O-])=[NH2+])=C1[O-])C(=O)c1c([O-])cccc1C3(C)O							
Tetracycline	-3	tetracycline_-3_1	CN(C)C1C2CC3C(=C([O-])C2(O)C(=O)C(C([O-])=[NH2+])=C1[O-])C(=O)c1c([O-])cccc1C3(C)O							
Tetracycline	-4	tetracycline_-4_2	CN(C)C1C2CC3C(=C([O-])C2([O-])C(=O)C(C([O-])=[NH2+])=C1[O-])C(=O)c1c([O-])cccc1C3(C)O							
Tetracycline	-4	tetracycline_-4_3	CN(C)C1C2CC3C(=C([O-])C2(O)C(=O)C(C([O-])=[NH2+])=C1[O-])C(=O)c1c([O-])cccc1C3(C)[O-]							
Tetracycline	-4	tetracycline_-4_1	CN(C)C1C2CC3C(=C([O-])C2(O)C(=O)C(C([O-])=N)=C1[O-])C(=O)c1c([O-])cccc1C3(C)O							
Tetracycline	-5	tetracycline_-5_2	CN(C)C1C2CC3C(=C([O-])C2(O)C(=O)C(C([O-])=N)=C1[O-])C(=O)c1c([O-])cccc1C3(C)[O-]							
Tetracycline	-5	tetracycline_-5_1	CN(C)C1C2CC3C(=C([O-])C2([O-])C(=O)C(C([O-])=N)=C1[O-])C(=O)c1c([O-])cccc1C3(C)O							
Tetracycline	-5	tetracycline_-5_3	CN(C)C1C2CC3C(=C([O-])C2([O-])C(=O)C(C([O-])=[NH2+])=C1[O-])C(=O)c1c([O-])cccc1C3(C)[O-]							
Tetracycline	-6	tetracycline_-6_1	CN(C)C1C2CC3C(=C([O-])C2([O-])C(=O)C(C([O-])=N)=C1[O-])C(=O)c1c([O-])cccc1C3(C)[O-]	100						
										
Chlortetracycline	2	chlortetracycline_2_1	C[NH+](C)C1C2CC3C(=C(O)C2(O)C(=O)C(C(N)=[OH+])=C1O)C(=O)c1c(O)ccc(Cl)c1C3(C)O							
Chlortetracycline	1	chlortetracycline_1_2	C[NH+](C)C1C2CC3C(=C(O)C2(O)C(=O)C(C(N)=[OH+])=C1[O-])C(=O)c1c(O)ccc(Cl)c1C3(C)O							
Chlortetracycline	1	chlortetracycline_1_1	C[NH+](C)C1C2CC3C(=C(O)C2(O)C(=O)C(C(N)=O)=C1O)C(=O)c1c(O)ccc(Cl)c1C3(C)O							
Chlortetracycline	0	chlortetracycline_0_1	C[NH+](C)C1C2CC3C(=C(O)C2(O)C(=O)C(C(N)=O)=C1[O-])C(=O)c1c(O)ccc(Cl)c1C3(C)O							
Chlortetracycline	-1	chlortetracycline_-1_1	CN(C)C1C2CC3C(=C(O)C2(O)C(=O)C(C(N)=O)=C1[O-])C(=O)c1c(O)ccc(Cl)c1C3(C)O							
Chlortetracycline	-1	chlortetracycline_-1_2	C[NH+](C)C1C2CC3C(=C(O)C2(O)C(=O)C(C(N)=O)=C1[O-])C(=O)c1c([O-])ccc(Cl)c1C3(C)O							
Chlortetracycline	-1	chlortetracycline_-1_3	C[NH+](C)C1C2CC3C(=C([O-])C2(O)C(=O)C(C(N)=O)=C1[O-])C(=O)c1c(O)ccc(Cl)c1C3(C)O							
Chlortetracycline	-2	chlortetracycline_-2_3	C[NH+](C)C1C2CC3C(=C([O-])C2(O)C(=O)C(C(N)=O)=C1[O-])C(=O)c1c([O-])ccc(Cl)c1C3(C)O							
Chlortetracycline	-2	chlortetracycline_-2_1	CN(C)C1C2CC3C(=C(O)C2(O)C(=O)C(C(N)=O)=C1[O-])C(=O)c1c([O-])ccc(Cl)c1C3(C)O							
Chlortetracycline	-2	chlortetracycline_-2_2	CN(C)C1C2CC3C(=C([O-])C2(O)C(=O)C(C(N)=O)=C1[O-])C(=O)c1c(O)ccc(Cl)c1C3(C)O							
Chlortetracycline	-3	chlortetracycline_-3_1	CN(C)C1C2CC3C(=C([O-])C2(O)C(=O)C(C(N)=O)=C1[O-])C(=O)c1c([O-])ccc(Cl)c1C3(C)O							
Chlortetracycline	-4	chlortetracycline_-4_2	CN(C)C1C2CC3C(=C([O-])C2(O)C(=O)C(C(N)=O)=C1[O-])C(=O)c1c([O-])ccc(Cl)c1C3(C)[O-]							
Chlortetracycline	-4	chlortetracycline_-4_1	CN(C)C1C2CC3C(=C([O-])C2([O-])C(=O)C(C(N)=O)=C1[O-])C(=O)c1c([O-])ccc(Cl)c1C3(C)O							
Chlortetracycline	-5	chlortetracycline_-5_1	CN(C)C1C2CC3C(=C([O-])C2([O-])C(=O)C(C(N)=O)=C1[O-])C(=O)c1c([O-])ccc(Cl)c1C3(C)[O-]							
Chlortetracycline	-5	chlortetracycline_-5_2	CN(C)C1C2CC3C(=C([O-])C2([O-])C(=O)C(C([NH-])=O)=C1[O-])C(=O)c1c([O-])ccc(Cl)c1C3(C)O							
Chlortetracycline	-6	chlortetracycline_-6_1	CN(C)C1C2CC3C(=C([O-])C2([O-])C(=O)C(C([NH-])=O)=C1[O-])C(=O)c1c([O-])ccc(Cl)c1C3(C)[O-]	100						
										
Clarithromycin	1	clarithromycin_1_1	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2O)[NH+](C)C)C(C)(CC(C)C(=O)C(C)C(O)C1(C)O)OC							
Clarithromycin	0	clarithromycin_0_1	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)(CC(C)C(=O)C(C)C(O)C1(C)O)OC							
Clarithromycin	-1	clarithromycin_-1_1	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2[O-])N(C)C)C(C)(CC(C)C(=O)C(C)C(O)C1(C)O)OC							
Clarithromycin	-1	clarithromycin_-1_2	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C([O-])C(C)O2)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)(CC(C)C(=O)C(C)C(O)C1(C)O)OC							
Clarithromycin	-1	clarithromycin_-1_3	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)(CC(C)C(=O)C(C)C(O)C1(C)[O-])OC							
Clarithromycin	-1	clarithromycin_-1_4	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)(CC(C)C(=O)C(C)C([O-])C1(C)O)OC							
Clarithromycin	-1	clarithromycin_-1_5	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)(CC(C)C(=O)[C-](C)C(O)C1(C)O)OC							
Clarithromycin	-2	clarithromycin_-2_1	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C([O-])C(C)O2)C(C)C(OC2OC(C)CC(C2[O-])N(C)C)C(C)(CC(C)C(=O)C(C)C(O)C1(C)O)OC							
Clarithromycin	-2	clarithromycin_-2_2	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2[O-])N(C)C)C(C)(CC(C)C(=O)C(C)C(O)C1(C)[O-])OC							
Clarithromycin	-2	clarithromycin_-2_3	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2[O-])N(C)C)C(C)(CC(C)C(=O)C(C)C([O-])C1(C)O)OC							
Clarithromycin	-2	clarithromycin_-2_4	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2[O-])N(C)C)C(C)(CC(C)C(=O)[C-](C)C(O)C1(C)O)OC							
Clarithromycin	-2	clarithromycin_-2_5	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C([O-])C(C)O2)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)(CC(C)C(=O)C(C)C(O)C1(C)[O-])OC							
Clarithromycin	-2	clarithromycin_-2_6	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C([O-])C(C)O2)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)(CC(C)C(=O)C(C)C([O-])C1(C)O)OC							
Clarithromycin	-2	clarithromycin_-2_7	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C([O-])C(C)O2)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)(CC(C)C(=O)[C-](C)C(O)C1(C)O)OC							
Clarithromycin	-2	clarithromycin_-2_8	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)(CC(C)C(=O)C(C)C([O-])C1(C)[O-])OC							
Clarithromycin	-2	clarithromycin_-2_9	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)(CC(C)C(=O)[C-](C)C(O)C1(C)[O-])OC							
Clarithromycin	-3	clarithromycin_-3_1	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C([O-])C(C)O2)C(C)C(OC2OC(C)CC(C2[O-])N(C)C)C(C)(CC(C)C(=O)C(C)C(O)C1(C)[O-])OC							
Clarithromycin	-3	clarithromycin_-3_2	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C([O-])C(C)O2)C(C)C(OC2OC(C)CC(C2[O-])N(C)C)C(C)(CC(C)C(=O)C(C)C([O-])C1(C)O)OC							
Clarithromycin	-3	clarithromycin_-3_3	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C([O-])C(C)O2)C(C)C(OC2OC(C)CC(C2[O-])N(C)C)C(C)(CC(C)C(=O)[C-](C)C(O)C1(C)O)OC							
Clarithromycin	-3	clarithromycin_-3_4	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2[O-])N(C)C)C(C)(CC(C)C(=O)C(C)C([O-])C1(C)[O-])OC							
Clarithromycin	-3	clarithromycin_-3_5	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2[O-])N(C)C)C(C)(CC(C)C(=O)[C-](C)C(O)C1(C)[O-])OC							
Clarithromycin	-3	clarithromycin_-3_6	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C([O-])C(C)O2)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)(CC(C)C(=O)C(C)C([O-])C1(C)[O-])OC							
Clarithromycin	-3	clarithromycin_-3_7	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C([O-])C(C)O2)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)(CC(C)C(=O)[C-](C)C(O)C1(C)[O-])OC							
Clarithromycin	-4	clarithromycin_-4_1	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C([O-])C(C)O2)C(C)C(OC2OC(C)CC(C2[O-])N(C)C)C(C)(CC(C)C(=O)C(C)C([O-])C1(C)[O-])OC							
Clarithromycin	-4	clarithromycin_-4_2	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C([O-])C(C)O2)C(C)C(OC2OC(C)CC(C2[O-])N(C)C)C(C)(CC(C)C(=O)[C-](C)C(O)C1(C)[O-])OC							
Clarithromycin	-4	clarithromycin_-4_3	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C([O-])C(C)O2)C(C)C(OC2OC(C)CC(C2[O-])N(C)C)C(C)(CC(C)C(=O)[C-](C)C([O-])C1(C)O)OC							
Clarithromycin	-5	clarithromycin_-5_1	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C([O-])C(C)O2)C(C)C(OC2OC(C)CC(C2[O-])N(C)C)C(C)(CC(C)C(=O)[C-](C)C([O-])C1(C)[O-])OC	100						
										
Venlafaxine	1	venlafaxine_1_1	COc1ccc(cc1)C(C[NH+](C)C)C1(O)CCCCC1							
Venlafaxine	0	venlafaxine_0_1	COc1ccc(cc1)C(CN(C)C)C1(O)CCCCC1							
Venlafaxine	-1	venlafaxine_-1_1	COc1ccc(cc1)C(CN(C)C)C1([O-])CCCCC1	100						
										
Carbendazim	1	carbendazim_1_1	COC(=O)Nc1[nH]c2ccccc2[nH+]1							
Carbendazim	0	carbendazim_0_1	COC(=O)Nc1nc2ccccc2[nH]1							
Carbendazim	-1	carbendazim_-1_1	COC(=O)Nc1nc2ccccc2[n-]1							
Carbendazim	-1	carbendazim_-1_2	COC(=O)[N-]c1nc2ccccc2[nH]1							
Carbendazim	-2	carbendazim_-2_1	COC(=O)[N-]c1nc2ccccc2[n-]1	100						
										
Metalaxyl	0	metalaxyl_0_1	COCC(=O)N(C(C)C(=O)OC)c1c(C)cccc1C							
Metalaxyl	-1	metalaxyl_-1_1	CO[CH-]C(=O)N(C(C)C(=O)OC)c1c(C)cccc1C	100						
										
Perfluorononanoic acid	-1	perfluorononanoicacid_-1_1	[O-]C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	100						
										
Perfluorododecanoic acid	-1	perfluorododecanoicacid_-1_1	[O-]C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	100						
										
Isoamyl benzoate	0	isoamylbenzoate_0_1	CC(C)CCOC(=O)c1ccccc1	100						
										
Benzophenone	0	benzophenone_0_1	O=C(c1ccccc1)c1ccccc1	100						
										
2-Ethylhexyl salicylate	0	2-ethylhexylsalicylate_0_1	CCCCCC(CC)OC(=O)c1ccccc1O							
2-Ethylhexyl salicylate	-1	2-ethylhexylsalicylate_-1_1	CCCCCC(CC)OC(=O)c1ccccc1[O-]	100						
										
Homosalate	0	homosalate_0_1	CC1CC(CC(C)(C)C1)OC(=O)c1ccccc1O							
Homosalate	-1	homosalate_-1_1	CC1CC(CC(C)(C)C1)OC(=O)c1ccccc1[O-]	100						
										
Benzophenone-3	0	benzophenone-3_0_1	COc1ccc(C(=O)c2ccccc2)c(O)c1							
Benzophenone-3	-1	benzophenone-3_-1_1	COc1ccc(C(=O)c2ccccc2)c([O-])c1	100						
										
4-Methylbenzylidene-camphor	0	4-methylbenzylidene-camphor_0_1	Cc1ccc(C=C2C3CCC(C)(C2=O)C3(C)C)cc1	100						
										
Benzylcinnamate	0	benzylcinnamate_0_1	O=C(OCc1ccccc1)C=Cc1ccccc1	100						
										
Heptanal	0	heptanal_0_1	CCCCCCC=O	100						
										
2,4,6-trichloroanisole	0	2,4,6-trichloroanisole_0_1	COc1c(Cl)cc(Cl)cc1Cl	100						
										
Propanal	0	propanal_0_1	CCC=O	100						
										
Dodecanal	0	dodecanal_0_1	CCCCCCCCCCCC=O	100						
										
Acetaldehyde	0	acetaldehyde_0_1	CC=O							
Acetaldehyde	-1	acetaldehyde_-1_1	[CH2-]C=O	100						
										
beta-cyclocitral	0	beta-cyclocitral_0_1	CC1=C(C=O)C(C)(C)CCC1	100						
										
Nonylphenol diethoxylate	0	nonylphenoldiethoxylate_0_1	CCCCCCCCCc1ccc(OCCOCCO)cc1							
Nonylphenol diethoxylate	-1	nonylphenoldiethoxylate_-1_1	CCCCCCCCCc1ccc(OCCOCC[O-])cc1	100						
										
Tetrabromobisphenol A	0	tetrabromobisphenola_0_1	CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1							
Tetrabromobisphenol A	-1	tetrabromobisphenola_-1_1	CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c([O-])c(Br)c1							
Tetrabromobisphenol A	-2	tetrabromobisphenola_-2_1	CC(C)(c1cc(Br)c([O-])c(Br)c1)c1cc(Br)c([O-])c(Br)c1	100						
										
Octylphenol	0	octylphenol_0_1	CCCCCCCCc1ccccc1O							
Octylphenol	-1	octylphenol_-1_1	CCCCCCCCc1ccccc1[O-]	100						
										
2,4-Dichlorophenol	0	2,4-dichlorophenol_0_1	Oc1ccc(Cl)cc1Cl							
2,4-Dichlorophenol	-1	2,4-dichlorophenol_-1_1	[O-]c1ccc(Cl)cc1Cl	100						
										
2,4,6-Trichlorophenol	0	2,4,6-trichlorophenol_0_1	Oc1c(Cl)cc(Cl)cc1Cl							
2,4,6-Trichlorophenol	-1	2,4,6-trichlorophenol_-1_1	[O-]c1c(Cl)cc(Cl)cc1Cl	100						
										
benzo(a)pyrene	0	benzo(a)pyrene_0_1	c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34	100						
										
Acetylsalicylic Acid	0	acetylsalicylicacid_0_1	CC(=O)Oc1ccccc1C(O)=O							
Acetylsalicylic Acid	-1	acetylsalicylicacid_-1_1	CC(=O)Oc1ccccc1C([O-])=O	100						
										
Erythromycin	1	erythromycin_1_1	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2O)[NH+](C)C)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O							
Erythromycin	0	erythromycin_0_1	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O							
Erythromycin	-1	erythromycin_-1_4	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)(O)CC(C)C(=O)C(C)C([O-])C1(C)O							
Erythromycin	-1	erythromycin_-1_5	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)([O-])CC(C)C(=O)C(C)C(O)C1(C)O							
Erythromycin	-1	erythromycin_-1_6	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)(O)CC(C)C(=O)[C-](C)C(O)C1(C)O							
Erythromycin	-1	erythromycin_-1_1	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2[O-])N(C)C)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O							
Erythromycin	-1	erythromycin_-1_3	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)[O-]							
Erythromycin	-1	erythromycin_-1_2	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C([O-])C(C)O2)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O							
Erythromycin	-2	erythromycin_-2_4	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2[O-])N(C)C)C(C)([O-])CC(C)C(=O)C(C)C(O)C1(C)O							
Erythromycin	-2	erythromycin_-2_5	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2[O-])N(C)C)C(C)(O)CC(C)C(=O)[C-](C)C(O)C1(C)O							
Erythromycin	-2	erythromycin_-2_6	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C([O-])C(C)O2)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)[O-]							
Erythromycin	-2	erythromycin_-2_2	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2[O-])N(C)C)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)[O-]							
Erythromycin	-2	erythromycin_-2_7	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C([O-])C(C)O2)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)(O)CC(C)C(=O)C(C)C([O-])C1(C)O							
Erythromycin	-2	erythromycin_-2_1	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C([O-])C(C)O2)C(C)C(OC2OC(C)CC(C2[O-])N(C)C)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O							
Erythromycin	-2	erythromycin_-2_8	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C([O-])C(C)O2)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)([O-])CC(C)C(=O)C(C)C(O)C1(C)O							
Erythromycin	-2	erythromycin_-2_9	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C([O-])C(C)O2)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)(O)CC(C)C(=O)[C-](C)C(O)C1(C)O							
Erythromycin	-2	erythromycin_-2_10	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)(O)CC(C)C(=O)C(C)C([O-])C1(C)[O-]							
Erythromycin	-2	erythromycin_-2_11	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)([O-])CC(C)C(=O)C(C)C(O)C1(C)[O-]							
Erythromycin	-2	erythromycin_-2_12	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)(O)CC(C)C(=O)[C-](C)C(O)C1(C)[O-]							
Erythromycin	-2	erythromycin_-2_13	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)([O-])CC(C)C(=O)C(C)C([O-])C1(C)O							
Erythromycin	-2	erythromycin_-2_14	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)([O-])CC(C)C(=O)[C-](C)C(O)C1(C)O							
Erythromycin	-2	erythromycin_-2_3	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2[O-])N(C)C)C(C)(O)CC(C)C(=O)C(C)C([O-])C1(C)O							
Erythromycin	-3	erythromycin_-3_14	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C([O-])C(C)O2)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)([O-])CC(C)C(=O)C(C)C([O-])C1(C)O							
Erythromycin	-3	erythromycin_-3_1	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C([O-])C(C)O2)C(C)C(OC2OC(C)CC(C2[O-])N(C)C)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)[O-]							
Erythromycin	-3	erythromycin_-3_2	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C([O-])C(C)O2)C(C)C(OC2OC(C)CC(C2[O-])N(C)C)C(C)(O)CC(C)C(=O)C(C)C([O-])C1(C)O							
Erythromycin	-3	erythromycin_-3_3	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C([O-])C(C)O2)C(C)C(OC2OC(C)CC(C2[O-])N(C)C)C(C)([O-])CC(C)C(=O)C(C)C(O)C1(C)O							
Erythromycin	-3	erythromycin_-3_4	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C([O-])C(C)O2)C(C)C(OC2OC(C)CC(C2[O-])N(C)C)C(C)(O)CC(C)C(=O)[C-](C)C(O)C1(C)O							
Erythromycin	-3	erythromycin_-3_5	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2[O-])N(C)C)C(C)(O)CC(C)C(=O)C(C)C([O-])C1(C)[O-]							
Erythromycin	-3	erythromycin_-3_6	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2[O-])N(C)C)C(C)([O-])CC(C)C(=O)C(C)C(O)C1(C)[O-]							
Erythromycin	-3	erythromycin_-3_7	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2[O-])N(C)C)C(C)(O)CC(C)C(=O)[C-](C)C(O)C1(C)[O-]							
Erythromycin	-3	erythromycin_-3_8	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2[O-])N(C)C)C(C)([O-])CC(C)C(=O)C(C)C([O-])C1(C)O							
Erythromycin	-3	erythromycin_-3_9	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2[O-])N(C)C)C(C)(O)CC(C)C(=O)[C-](C)C([O-])C1(C)O							
Erythromycin	-3	erythromycin_-3_10	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2[O-])N(C)C)C(C)([O-])CC(C)C(=O)[C-](C)C(O)C1(C)O							
Erythromycin	-3	erythromycin_-3_11	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C([O-])C(C)O2)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)(O)CC(C)C(=O)C(C)C([O-])C1(C)[O-]							
Erythromycin	-3	erythromycin_-3_12	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C([O-])C(C)O2)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)([O-])CC(C)C(=O)C(C)C(O)C1(C)[O-]							
Erythromycin	-3	erythromycin_-3_15	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C([O-])C(C)O2)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)([O-])CC(C)C(=O)[C-](C)C(O)C1(C)O							
Erythromycin	-3	erythromycin_-3_13	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C([O-])C(C)O2)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)(O)CC(C)C(=O)[C-](C)C(O)C1(C)[O-]							
Erythromycin	-4	erythromycin_-4_5	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C([O-])C(C)O2)C(C)C(OC2OC(C)CC(C2[O-])N(C)C)C(C)([O-])CC(C)C(=O)C(C)C([O-])C1(C)O							
Erythromycin	-4	erythromycin_-4_6	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C([O-])C(C)O2)C(C)C(OC2OC(C)CC(C2[O-])N(C)C)C(C)(O)CC(C)C(=O)[C-](C)C([O-])C1(C)O							
Erythromycin	-4	erythromycin_-4_7	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C([O-])C(C)O2)C(C)C(OC2OC(C)CC(C2[O-])N(C)C)C(C)([O-])CC(C)C(=O)[C-](C)C(O)C1(C)O							
Erythromycin	-4	erythromycin_-4_8	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2[O-])N(C)C)C(C)([O-])CC(C)C(=O)C(C)C([O-])C1(C)[O-]							
Erythromycin	-4	erythromycin_-4_9	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2[O-])N(C)C)C(C)([O-])CC(C)C(=O)[C-](C)C(O)C1(C)[O-]							
